summary,instance
"If the Federal Government developed a common interface for ingesting Supplemental Nutrition Assistance Program (SNAP) application and outcome data from third parties as well as sending data to USDA for additional evaluation of the SNAP Program, then third parties would be able to directly input SNAP application and outcome data to provide national reporting mechanisms to the federal government. Submitted by: mrelief.com.","Project Name: National SNAP Web Service Template Initiative
Problem Statement - We do not have a common interface for ingesting Supplemental Nutrition Assistance Program (SNAP) application and outcome data from third parties as well as sending data to USDA for additional evaluation of the SNAP Program. The publication of SNAP eligibility requirement data on data.gov has already catalyzed innovative technological solutions to enhance service delivery in the form of mRelief.com the easy-to-use platform that enables Americans to find out if they meet basic SNAP requirements on web, text messaging and voice. Enabling SNAP application and outcome web service access is consistent with the federal data strategy of Commercialization, Innovation, and Public Use as it spurs innovative technological solutions and fills gaps in government capacity and knowledge.
Key Goals of a National Web Service:
Provides the capability for an accessible end-to-end service that enables third parties to inform governments about effective outreach methods for identifying eligible SNAP applicants to enable capital efficiency.
Providing high quality and timely information to inform evidence-based decision-making and learning in support of program integrity facilitating national database querying at the point of application submission before additional time is expended by state administrators and SNAP applicants. 
Facilitating external research on the effectiveness of SNAP Delivery by measuring the length of application processes in real time, and linking SNAP participation to communication platforms that facilitate accessible surveys to participants on response to policy changes
Reducing costs on the state in upgrading their systems 
Similar use cases:
The IRS has an end point that takes submissions from Turbo Tax.
Ag Gateway’s Initiatives standardizing fertilizer reporting process
Existing Infrastructure:
Acre Crop Reporting - https://usda.github.io/data-standards/index.html
Some Standard Data Elements that overlap with SNAP application and outcome information already exist here: https://usda.github.io/data-standards/data-elements/index.html
Deliverable: A web service that would enable third parties to feed SNAP application and outcome data and provide national reporting mechanisms to the federal government.
"
"If the Department of Veterans Affairs maps veteran suicide at the census tract level and leverages geospatial predictive analytics, then they may be able to: identify areas to deploy additional mental health services, identify veteran suicide groupings and map their location by classification (i.e., urban, rural, and highly rural), and  determine the scope of the problem when considering mental health care availability in urban versus rural areas (e.g., it may be necessary to deploy more Community Care resources to certain rural and semi-rural areas). Submitted by: Anonymous.","Use Case: Veteran Suicide Mapping
Preventing suicide among America’s veterans is a high priority both at the U.S. Department of Veterans Affairs (VA) and within the current administration. At Leidos, our mission is to make the world safer, healthier, and more efficient through information technology, engineering, and science. We offer this use case for Veteran Suicide Mapping in support of this mission and in support of America’s veterans.
Twenty veterans commit suicide every day according to a 2018 analysis [1]. In fact, peacetime veteran suicide, which used to be well below the rate of the general public, rose above the civilian rate for the first time in history in 2008 [2]. It is a high priority at the VA to provide care to all veterans, regardless of their geographic location. In particular, a new presidential executive order directs the VA, Department of Defense, and the Department of Homeland Security “to collaborate to provide, to the extent consistent with law, seamless access to mental health care and suicide prevention resources for Veterans” [3]. 
According to a 2016 research report on veteran suicide, there is a need for “comparison of suicide rates for residents of urban and rural areas” [4]. We propose mapping veteran suicide at the census tract level. This enables the VA to 1) identify areas to deploy additional mental health services, 2) identify veteran suicide groupings and map their location by classification (i.e., urban, rural, and highly rural), and 3) determine the scope of the problem when considering mental health care availability in urban versus rural areas (e.g., it may be necessary to deploy more Community Care resources to certain rural and semi-rural areas).  For this geospatial data analytics use case, we will collect veteran suicide data from the VA Open Data Portal [5] and census tract data for urban, rural, and highly rural areas from the U.S. Census Bureau [6]. After aggregating and refining the data, Leidos will leverage our Global Monitoring and Planning System (GLIMPS), which is currently being used by America’s intelligence and special operations communities to predict global hotpots at a 96% accuracy rate, five years into the future. 
About Leidos - Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, homeland security, civil, and health markets. Recognized as a Top 10 Health IT provider, Leidos draws on decades of success to deliver a range of solutions and services designed to meet the healthcare challenges of today. A company of scientists, engineers, and technologists, we deliver a broad range of customizable, scalable solutions to hospitals and health systems, biomedical organizations, and every U.S. federal agency focused on health, including the Department of Defense (DoD), Veterans Affairs (VA), and Health and Human Services (HHS). 
References:
[1] National Academies of Sciences, Engineering, and Medicine. Evaluation of the Department of Veterans Affairs Mental Health Services. National Academies Press, 2018.
[2] Bachynski, Kathleen E., et al. ""Mental health risk factors for suicides in the US Army, 2007–8."" Injury Prevention 18.6 (2012): 405-412.
[3] U.S. Department of Veterans Affairs. Office of Public and Intergovernmental Affairs - https://www.va.gov/opa/pressrel/pressrelease.cfm?id=4064
[4] Department of Veterans Affairs. ""Suicide among Veterans and other Americans 2001-2014."" Washington, DC, Office of Suicide Prevention (2016). https://www.ment"
"If the Federal Government provided a process that would allow researchers to send local data for linkage with federal wage records and then analyze the results through a Federal Statistical Research Data Center (RDC) or equivalent, then researchers may be able to fill in gaps in the current state and local Integrated Data Systems (IDS) related to welfare and workforce development programs, to be able to understand the earnings trajectories of residents working outside of their state, or those who work for the federal government or military. Submitted by: University of Penn.","Facilitating Linkages Between State and Local IDS and Key Federal Data Sets:
State and local governments are increasingly utilizing Integrated Data Systems (IDS) that link administrative data across domains to evaluate federal policies and programs. Often, such efforts are unable to account for individuals who cross state lines or, for other reasons, are not captured in local data sets, and therefore would benefit from a streamlined process for linking existing IDS data with key federal data sets. For example, in order to evaluate federal welfare and workforce development programs, states may seek to understand the earnings trajectories of residents working outside of their state, or those who work for the federal government or military, who will not be captured in state administrative data sources. A process that would allow researchers to send local data for linkage with federal wage records and then analyze the results through a Federal Statistical Research Data Center (RDC) or equivalent would open up the possibilities for many more important uses of state administrative data. 
"
"If many states form a Multi-state Temporary Assistance for Needy Families (TANF) Research Collaborative in partnership with the Family Self-Sufficiency Data Center to share and securely link data, then there would be comparable analyses on whether: working recipients earn sufficient income to close cases, households that earn their way off benefits main self-sufficiency or do the cases reopen, and workers in households closed due to earnings maintain a stable income after case closings to inform and improve program administration. Submitted by: chapinhall.org.","Multistate TANF Research Collaborations  
This project aims to demonstrate a use case for family self-sufficiency data to inform and improve program administration by working with cohort of six state TANF agencies to conduct comparable analyses. The analysis will describe the interaction between work participation and receipt of benefits by addressing questions such as: What working recipients earn sufficient income to close cases? Do households that earn their way off benefits main self-sufficiency, or do the cases reopen? Do the workers in households closed due to earnings maintain a stable income after case closings? Participating agencies receive extensive technical assistance, including assistance with data preparation, data sharing, and/or data analysis, and the opportunity to collaborate and develop a common understanding of best practices together with other partner agencies. We will clearly and transparently document how these analyses are performed (including providing code and detailed definitions) so that other agencies can duplicate these metrics on their own data. This project, an initiative of the Family Self-Sufficiency Data Center (https://harris.uchicago.edu/research-impact/centers/family-self-sufficiency-data-center) is sponsored by the Office of Planning, Research, and Evaluation (OPRE), an Office of the Administration for Children and Families (ACF), U.S. Department of Health and Human Services (HHS)."
"If the Federal Government works with multiple local jurisdictions to create a Dual System Youth Design Study to analyze administrative records on youth who are involved in both the juvenile justice and child welfare systems to create national estimates, then local governments and third parties could be informed to create strategies to improve coordination across systems. Submitted by: chapinhall.org.","Dual System Youth Design Study
This project aims to develop a sound research design for generating national estimates of dual system youth who are involved in both the juvenile justice and child welfare systems and to identify strategies to improve coordination across systems. The project meets these aims by analyzing administrative records from multiple jurisdictions to identify pathways that lead to multiple system involvement and to better understand characteristics of the dual system populations in those jurisdictions; and conducting case studies to identify examples of successes and challenges associated with cross-system collaboration and data integration in local jurisdictions. Analyses were completed using linked administrative data from three sites Cuyahoga County, Ohio, New York City, and Cook County, Illinois. A significant focus of this study was to assess the feasibility of using administrative data linked across systems to produce the incidence of dual system youth (https://www.ojjdp.gov/research/design-study-of-dual-system-youth.html). This project is sponsored by the Office of Juvenile Justice and Delinquency Prevention (OJJDP). 
"
"If researchers work with governments to conduct a Pathways from K-12 to Work Study connecting longitudinal education data and to employment and earnings data, data on public benefit receipt, and mortality, then schools and the postsecondary institutions would be able to strategically adjust early life education programming to mitigate low earnings, unemployment, not attending post-secondary education, and incarceration. Submitted by: chapinhall.org.","Pathways from K-12 to Work. 
This project characterizes students’ pathways from K–12 schooling to work, with particular attention to those students whose trajectories are negatively affected by failure to graduate from high school or fail to engage in work or school after graduation. The study uses a longitudinal cohort of students from a large, urban school district with linked demographic information, school achievement test scores, school attendance, high school graduation, college attendance and graduation, and juvenile and criminal justice involvement. They intend to match this dataset through the Census Bureau infrastructure to employment and earnings data, data on public benefit receipt, and mortality. The resulting combined data can answer the question “what early life educational and out-of-school experiences predict low earnings, unemployment, not attending post-secondary education, and incarceration?” Results of this study can provide actionable results for both schools and the postsecondary institutions, be it employment or education."
"If the Federal Government and states work with researchers to conduct an Effects of Public Need-Based Aid for College Study by augmenting longitudinal state college enrollment and eligibility for college financial aid databases with American Community Survey income and earnings data, then local governments will be able to evaluate the impacts of the state programing that lowers the price of college for low-income residents. Submitted by: chapinhall.org.","Effects of Public Need-Based Aid for College. 
This project augments an existing large, longitudinal state database by adding income and earnings measures to measures of college enrollment and eligibility for college financial aid. The core of the project is an evaluation of the impacts of a state program that lowers the price of college for low-income residents. The original database consists of all state residents applying to receive state and federal financial aid at state colleges and universities, during the school years 2007–08 through 2014– 15. They observe college outcomes for applicants and request matching to employment and earnings data. An additional match to the American Community Survey will provide a fuller picture of education and employment for a subset of applicants. The study is poised to answer questions about the longer-outcomes of the public financial aid program and inform future state investments.
"
"If the Federal Government and states work with researchers to conduct an Does Eviction Cause Poverty? Study by combining local court records data and school district records with Census Bureau held data (to study earnings, employment, public benefit receipt, and homelessness for evicted adults; and chronic absenteeism, misconduct, and performance on standardized tests among children of evicted households, respectively), then local governments will be able to create evidence-based policy on housing assistance, by highlighting the costs of eviction, and by providing solid evidence on the long-run impact of eviction on families. Submitted by: chapinhall.org.","Does Eviction Cause Poverty? 
This project evaluates the causal impact of eviction on employment and schooling outcomes in a large urban county using a database containing the universe of eviction case court records from 2000–2015. The research design leverages the random assignment of eviction court cases to judges, which creates a natural experiment for studying the causal effect of eviction on a wide range of short- and long-run household outcomes associated with poverty. They propose combining court records data with Census Bureau held data to study earnings, employment, public benefit receipt, and homelessness for evicted adults. Using school district data, they also propose to study how eviction affects chronic absenteeism, misconduct, and performance on standardized tests among children of evicted households. Results will inform the policy debate on housing assistance, by highlighting the costs of eviction, and by providing solid evidence on the long-run impact of eviction on families. This study will contribute towards the debate on tenant-based versus place-based housing assistance."
"If the Federal Government and local governments work with researchers to conduct a Service Utilization of Families Experiencing Homelessness Study by securely combining confidential local social services, school records, and law enforcement data to Census Bureau and federal housing and change of address data to determine longitudinal housing patterns and risk and resilience factors (for subsequent homelessness, child welfare involvement, criminal justice involvement, and child academic and behavioral outcomes), then local governments will be able to create evidence-based policy on homelessness assistance, by highlighting the costs of homelessness, and by providing solid evidence on the long-run impact of homelessness on families. Submitted by: chapinhall.org.","Service Utilization of Families Experiencing Homelessness. The goal of this study is to provide evidence to the experiences of families experiencing homelessness to inform policy efforts to better serve this population. The project uses a linked database of social services, school records, and law enforcement records for one large county. They intend to use the Census Bureau infrastructure to develop a comparison group using the American Community Survey, and link to federal program data including housing data and change of address data. This data linkage will allow the researchers to longitudinally examine housing patterns, compare these patterns among families who were housed and those who were homeless, and to identify risk and resilience factors for subsequent homelessness, child welfare involvement, criminal justice involvement, and child academic and behavioral outcomes."
"If the Federal Government and local governments work with researchers to conduct a Health at Birth and Later Life Outcomes Study by securely combining a large sample size of birth records over several decades with Census-held administrative data to examine income, educational attainment, health, and use of government services later in life, then the Federal government and local governments would be informed on how many large social programs affect lifelong improvements in health and productivity. Submitted by: chapinhall.org.","• Health at Birth and Later Life Outcomes. This study aims to document the relationship between health at birth and later life outcomes, while evaluating the returns to policy-driven early health investments. First, they will use within-family variation in birth weight to estimate the effect of health at birth on adult health and productivity. Second, they will analyze two specific public health investments that target the prenatal and neonatal periods for low-income pregnant women in one state. They propose combining birth records for over 25 million individuals born in one large state over six decades with Census-held administrative data to examine income, educational attainment, health, and use of government services later in life. This project analyzes the role of policy interventions in promoting lifelong improvements in health and productivity. Given the many large social programs that exist in the U.S. to promote the health of pregnant women and infants, additional information on the relationship between public policy, health at birth, and later life outcomes will add substantial value to ongoing policy debates.
"
"If the Federal Government and local governments work with researchers to conduct a Program Utilization by Formerly Criminalized Youth Study by securely combining state agency data on juvenile justice, criminal justice, and recidivism with Census Bureau-held data (with respect to young persons who have been involved in criminal or juvenile justice in one state) to identify government programs whose utilization is associated with nonrecidivism, higher incomes, better health, more stable housing, or other socially desirable outcomes, then the Federal government and local governments would be informed on how to serve young offenders and may be able to identify strategies for reducing recidivism. Submitted by: chapinhall.org.","• Program Utilization by Formerly Criminalized Youth. This project proposes to combine state agency data on juvenile justice, criminal justice, and recidivism with Census Bureau-held data with respect to young persons who have been involved in criminal or juvenile justice in one state. The study brings juvenile recidivism data integrated from three state agencies for nearly 83,000 individual juveniles who were involved in juvenile or criminal justice between 2000 and 2014 with information about arrests, charges, disposition, sentencing, incarceration, and rearrests. This project seeks matching with federally held data resources on income and employment, housing assistance, health insurance and health care, and location. By combining state juvenile recidivism data with data resources held at the Census Bureau, the study aims to identify government programs whose utilization is associated with nonrecidivism, higher incomes, better health, more stable housing, or other socially desirable outcomes. Results of this study can contribute to policy discourse about how to serve young offenders and identifying strategies for reducing recidivism."
"If the Employment and Training Administration (ETA) and the Bureau of Labor Statistics (BLS) build on their previous efforts to combine traditional survey-based methods with natural language processing methods using large pools of public-private jobs data to increase the availability, granularity, and use of structured, machine-readable skill and competency information, then they can accelerate the pace of improvement for federal occupational ontologies like SOC and O*NET.
If the Federal Government builds on their efforts like College Scorecard, as well as public-private collaborations like LEHD's partnership with the University of Texas system, to scale up the voluntary provision of programmatic and credential information from states and individual education and training providers to connect individual participant records with long-term labor market outcomes, then Federal Government data collection costs of credential and competency information may be able to be dramatically reduced, while broadening education and training programs capabilities. 
If the Federal Government builds on their partnership between IRS and Census in allowing new uses of tax records to create public-use datasets through CARRA, then US Chamber of Commerce employers may be able to measure their ability as employers to act as engines of economic mobility by creating a public-private data collaborative with Census and providing hiring data for cohorts of new hires to connect with long-term labor market outcomes and earnings profiles and provide aggregates statistics on wage trajectories by SOC within employers or employer groups. Submitted by: T3 Innovation Network .","On behalf of the T3 Innovation Network (https://www.uschamberfoundation.org/t3-innovation) a public-private talent pipeline data innovation initiative organized by the US Chamber of Commerce Foundation and Lumina Foundation, we'd like to submit three use cases along with accompanying best practices in Federal Agencies that can be build on to enable each of these use cases. A common thread through each of these is the creation of public-private data collaborative that allow for the creation and enhancement of new, consumer-facing, public-use datasets.
1. Catalyzing Structured Competencies Bridging Education to Work. Federal agencies can play an essential role in public-private data collaborative for increasing the availability, granularity, and use of structured, machine-readable skill and competency information in education and employment contexts, and accelerate the pace of improvement for federal occupational ontologies like SOC and O*NET. Building on past collaborations by ETA and BLS combining traditional survey-based methods with natural language processing methods using large pools of public-private jobs data.  These efforts can be accelerated through the US Chamber of Commerce's recently launched Jobs Data Exchange effort, and has been discussed with Federal partners in a convening July 27th, 2018. Stakeholders in this work may include historical collaborators such as the National Labor Exchange, University of Chicago's Center for Data Science and Public Policy, LinkedIn, US Chamber of Commerce's Job Data Exchange Initiative, Google, as well as other new collaborators who have shown interest.
- Increasing the Availability of Consumer Information on Return on Investment for Programs and Credentials. Building on inter-agency efforts like the College Scorecard, as well as public-private collaborations like LEHD's partnership with the University of Texas system, there is a significant opportunity to scale up the voluntary provision of programmatic and credential information from states and individual education and training providers to connect individual participant records with long-term labor market outcomes and make metrics around return on investment in education more broadly available. Several foundations and funders are actively working in creating data standards for program, credential, and competency information and make it easier for education and training institutions to be able to share this data as part of data collaboratives and those efforts could dramatically reduce the costs to federal agencies for receiving and connecting individual and programmatic data, while broadening the set of programs and providers connecting their data. Stakeholders could include NASWA, IMS Global, AACRAO, Dxterra, the Lumina Foundation, Gates Foundation, and others.
- Enabling the Availability of Consumer Information on Employers as Engines of Economic Mobility. Building off of the partnership between IRS and Census in allowing new uses of tax records to create public-use datasets through CARRA, several members of the US Chamber of Commerce have expressed a strong interest in measuring their ability as employers to act as engines of economic mobility by voluntarily creation a public-private data collaborative with Census and providing hiring data for cohorts of new hires to connect with long-term labor market outcomes and earnings profiles and provide aggregates statistics on wage trajectories by SOC within employers or employer groups. This would be similar in spirit to College Scorecard in providing new consumer-facing information on the return on investment for early apprenticeship and employment at different large employers. Several funders have expressed interest in supporting this work. 
"
"When the Federal Government created the he National Information Exchange Model (NIEM), a common vocabulary that enables efficient information exchange across diverse public and private organization, then they were able to connect  communities of people who share a common need to exchange information in order to advance their mission. Submitted by: Joint Staff J6, DDC5I, Data and Services Division.","The National Information Exchange Model (NIEM) is a common vocabulary that enables efficient information exchange across diverse public and private organizations. NIEM connects communities of people who share a common need to exchange information in order to advance their mission. NIEM provides rules and methodologies around the use of the model as well as a standardized Information Exchange Development Lifecycle that can be reused by everyone. NIEM also includes governance, training, tools, technical assistance, and an engaged community to support users and organizations in adopting NIEM. NIEM is community-driven. As new communities join NIEM, they bring with them innovative ideas and fresh perspectives which contributes to the advancement of the program. Organizations can reuse NIEMs common vocabulary, the engineering behind it, and standardized exchange development process to meet their specific requirements. This reduces the number of development efforts, eases long-term maintenance, conserves resources, and promotes consistency ultimately leading to enhanced mission capabilities.
More information: https://www.niem.gov/"
"When AIR developed and piloted an easy-to-use, evidence-based promising practices database and dashboard of cross systems opioid-related interventions (which includes emerging policies and practices from CrimeSolutions.gov, SAMHSA’s National Registry of Evidence-Based Programs and Practices, and other sources), then communities and states were able to conduct free text searching of interventions in prevention, treatment, harm reduction, and recovery; and across a variety of geographic areas, populations (e.g., children), sectors, and implementers. Submitted by: American Institutes for Research.","Opioid Promising Practices Dashboard
The opioid crisis is a fast-moving epidemic, and new interventions emerge and are evaluated on a frequent basis.
Based on prior experience in the field, AIR ascertained a pressing need for communities at the frontlines to access cross-system, evidence-based practices and policies in a user-friendly format. We have developed and are piloting an easy-to-use, evidence-based promising practices database and dashboard of cross systems opioid-related interventions (Figure 1). This dashboard allows for free text searching of interventions in prevention, treatment, harm reduction, and recovery; and across a variety of geographic areas, populations (e.g., children), sectors, and implementers. The dashboard covers evaluations and meta-analyses on CrimeSolutions.gov, SAMHSA’s National Registry of Evidence-Based Programs and Practices, and emerging policies and practices from other sources. The dashboard provides a mechanism by which communities and states may look to national programs and policies to assess what could work in their communities. The tool is expected to be beta-tested by experts and community users in August 2018."
"If Federal statistical agencies implement secure cloud-based analytical platforms that incorporate the latest big data technologies (e.g., Hadoop and Spark) and cloud computing technologies (Kubernetes native cloud computing architecture), then they will be able to centralize data lifecycle management, analyze data at an unprecedented scale, improve data security from all angles (including granular access controls), and manage centrally the tools and code to provide a personalized computing environment. Submitted by: American Institutes for Research.","Secure Cloud-Based Analytical Platform Our analytics platform incorporates the latest big data technologies (e.g., Hadoop and Spark) and cloud computing technologies (Kubernetes native cloud computing architecture) to provide researchers and data scientists with a powerful integrated analytical platform (Figure 2). With this type of solution, federal statistical agencies may better control access to restricted data by co-locating processing and analytical functions with the data. This tiered architecture allows AIR and our clients to:
• Centralize data lifecycle management
• Analyze data at an unprecedented scale
• Improve data security from all angles, including granular access controls
• Manage centrally the tools and code to provide a personalized computing environment
"
"If states and institutions update their programs to careers resources (CIPSOC crosswalk tools) with Integrated Postsecondary Education Data System (IPEDS), College Scorecard, student aid, Bureau of Labor Statistics (BLS) and Census American Community Survey (ACS) data, on postsecondary graduates (plus workforce training recipients, as available), then like AIR's LaunchMyCareer tool, they would be able to better analyze students’ choices, postsecondary institution support and resource provision, employer strategies, cross-sector collaboration, and state resource allocations. Submitted by: American Institutes for Research.","Mapping Postsecondary-to-Occupation Experiences
Closing the gap in information linking credentials to jobs is needed now more than ever as potential students continue to demand a clearer return on investment from postsecondary institutions. In AIR’s work developing LaunchMyCareer (Figure 5), we have noted that the resource for states and institutions to map their programs to careers – so called CIP-SOC crosswalk – is 10 years old and is based on principles, not data. Exploring microdata on postsecondary graduates (plus workforce training recipients, as available) and their transition to the workforce can produce a data driven, experienced-based resource that describes the observed transitions from postsecondary education/workforce training programs to the workforce. Such a resource would inform students’ choices, postsecondary institution support and resource provision, employer strategies, cross-sector collaboration, and state resource allocations. The tool uses federal education data from the Integrated Postsecondary Education Data System (IPEDS), College Scorecard, the current CIPSOC crosswalk, and student aid sources. Similarly, it uses a variety of Bureau of Labor Statistics (BLS) and Census American Community Survey (ACS) data."
"When researchers leading the Moving to Opportunity (MTO) experiment used access to tax records to comprehensively examine the long-term impacts of housing voucher programs and moves to lower-poverty neighborhoods, then they were able to conduct the critical long-term follow-up analysis to assure equivalent data coverage for both treatment and control groups without incurring the formidable and expensive task of long-term surveys. Submitted by: J-PAL North America.","Understanding Effects of Neighborhoods
Researchers leading the Moving to Opportunity (MTO) experiment used administrative data to comprehensively examine the long-term impacts of housing voucher programs and moves to lower-poverty neighborhoods.  Through MTO, families were selected by lottery to receive housing vouchers, some of which required families to move to neighborhoods with low poverty rates. Initial and mid-term studies, which leveraged unemployment insurance data, arrest records, college enrollment data, benefits data, and census data found that adults who moved had no change in employment, income, or use of government benefits (although surveys showed they were happier and healthier). However, a long-term follow-up study, made possible by access to tax records, revealed that for young children (less than 13-years-old at the time of the move), moving to a low-poverty neighborhood increased expected lifetime earnings by about $300,000. This study also found that children who moved were more likely to attend college, attended better colleges, and lived in better neighborhoods as adults, and women were less likely to become single mothers. Administrative data allowed for long-term follow-up and was critical in assuring equivalent data coverage for both treatment and control groups, a formidable and expensive task with long-term surveys. For instance, recipients of vouchers may be more likely to have moved and thus harder to locate, or they may be more or less likely to be in jail, employed, etc. These concerns of differential coverage across treatment and control group can be mitigated using administrative data.
"
"When South Carolina replaced their quasi-random, “round robin” procedure, to a 
explicitly random procedure for Medicaid beneficiaries, then researchers were able to analyze the effect of different managed care plans by matching records of beneficiaries’ plan assignments to various sources of administrative data, including data from Medicaid claims, the Department of Mental Health, the Department of Alcohol and Drug Abuse Services, and vital records for “cream skimming” effects—i.e., whether differences in health outcomes across MCOs is the result of different features of the MCOs. Submitted by: J-PAL North America.","Implementing True Randomization in Medicaid Managed Care Organization Assignment
In South Carolina, policymakers embedded true randomization into the Managed Care Organization (MCO) assignment of Medicaid beneficiaries to assess the efficiency of the program. Prior to 2017, the state automatically assigned Medicaid beneficiaries to different managed care plans using a quasi-random, “round robin” procedure. South Carolina worked with its Medicaid enrollment broker so that beginning in 2017, the state started to automatically assign beneficiaries using an explicitly random procedure. Researchers estimate that roughly 60,000 beneficiaries will be randomly assigned each year.
Random assignment will allow them to distinguish the MCO’s impact from any possible “cream skimming” effects—i.e., whether differences in health outcomes across MCOs is the result of different features of the MCOs, or the result of MCOs enrolling individuals who were more or less healthy to begin with. Researchers will analyze the effect of being randomly assigned to different managed care plans by matching records of beneficiaries’ plan assignments to various sources of administrative data, including data from Medicaid claims, the Department of Mental Health, the Department of Alcohol and Drug Abuse Services, and vital records.
"
"When Fujirebio transitioned from on-premises data centers to virtualization and the cloud, then they were able to achieve speedy recovery and eliminate tape complexity and costs by instantly archiving all our mission critical production systems to the public cloud. Submitted by: Rubrik.","USE CASE - FUJIREBIO DIAGNOSTICS
As the global leader in producing in vitro diagnostics and biomarkers, Fujirebio was feeling increased pressure to manage backup and archiving in its on-premises data centers. The company didn’t want to continue to pay costly upgrades with its legacy vendor, and it needed to reduce management complexity and test backups more quickly. The company realized it was unable to upgrade its system to the next version of VMware vSphere because of compatibility issues with its existing vendor. Also, it was running out of space and didn’t want to incur the cost of a forklift upgrade.
“It was essential that we have a scalable solution that allows for growth year after year,” said Tim Gable, network systems manager. “Rubrik integrates seamlessly with our shift to virtualization and cloud, following the same scale-out philosophy of cloud computing with pay-as-you-go economics.
“The beauty of Rubrik is that it is built for the user instead of the technology, with just a box bolted on top,” he continued. “Two of the main results we have seen with Rubrik is that the speed of recovery is phenomenal, and we can eliminate tape complexity and costs by instantly archiving all our mission critical production systems to the public cloud. This gives us more resiliency in case of a failure.”
 "
"When the Departments of Justice and Homeland Security developed the National Information Exchange Model (NIEM), they were able to create a common framework and vocabulary for information exchanges among differing missions and business domains. Submitted by: The MITRE Corporation.","Investigate and leverage governance and stewardship practices from similar domains.
Example: National Information Exchange Model (NIEM), 29 which was initially developed by the Departments of Justice and Homeland Security
• Best Practice/Common Solution
• NIEM is a use case example of data governance, stewardship, and information exchanges for all levels of government (federal, state, local, and tribal) Consider leveraging and expanding NIEM as a framework and common vocabulary for data sharing and information exchanges beyond its current mission/business domains.
[29 https://www.niem.gov/]
"
"When the Pew Charitable Trusts published its 2018 report on ""How States Use Data to Inform Decisions,"" they revealed ideas and use cases that could be applicable to the federal domain. Submitted by: The MITRE Corporation.","Leverage insights gained from prior data investigations. Example: the Pew Charitable Trusts’ 2018 report, “How States Use Data to Inform Decisions.” 34 • Missed Opportunity • The Pew report includes ideas and use cases that the federal government may be able to leverage and adopt. Explore the Pew report for ideas and use cases that could also be applicable in the federal domain.
[34 http://www.pewtrusts.org/en/research-and-analysis/reports/2018/02/how-states-use-data-to-inform-decisions]"
"If the government considered itself to be an information broker, allowing citizens and organizations to update their information, it could improve data quality. Submitted by: The MITRE Corporation.","Many municipalities are also exploring open data activities. For example, the city of Syracuse, N.Y., is using and sharing municipal data via a portal that provides a central location for open data, maps, and visualization tools to help residents understand what is happening in their city.
35
• Common Solution
• The government should consider allowing citizen and organizations to own and update information about themselves, as the credit bureaus do. Such engagement of the public will significantly raise data management awareness and ultimately improve data quality. If the government considered itself to be such an information broker, it could reconcile mistakes in the data across multiple systems and agencies.
Explore and adopt ideas from municipalities’ open data initiatives.
[35 http://data.syrgov.net/pages/tntdata]"
"If the government investigates public-private opportunities, it might uncover data that could assist in development of healthcare enhancements. Submitted by: The MITRE Corporation.","While using data to support healthcare enhancements is common, opportunities exist to investigate potential new efforts for communities that tend to get less attention, such as those with disabilities36 or need the assistance of caregivers.
37
• Missed Opportunity
• Navigating requirements and obtaining information from numerous sources is often an onerous process for those requiring assistance. Can agencies work together to develop interfaces to data that would help?
Initiate public-private efforts to uncover data stores that could assist the public on these complex issues, and develop easy to use interfaces to access them.
[36 For example: http://www.who.int/news-room/fact-sheets/detail/disability-and-health
37 For example: http://www.who.int/news-room/fact-sheets/detail/assistive-technology]"
"If the government studies the Department of Commerce's Low Earth Orbit Situational Awareness and Space Traffic Control system, it could realize data management and commercialization lessons applicable elsewhere. Submitted by: The MITRE Corporation.","Support Commerce’s Low Earth Orbit (LEO) Situational Awareness and Space Traffic Control systems.
• Game Changer
• Data management and commercialization will be key to this effort’s success.
Investigate to determine if it could become a useful case study, where lessons learned through supporting this initiative could be applied elsewhere."
"If the Federal Data Strategy team worked closer with the Improper Payments CAP Goal, both teams would be mutually benefited. Submitted by: The MITRE Corporation.",Improper Payments is a massive ($141 billion annually) and data heavy federal issue. It’s also the focus of CAP Goal #9. • Game Changer • Data-centric efforts on this problem space will reap benefits for two CAP goals. Establish connections with managers of CAP Goal #9 to develop a mutually beneficial project.
